,threshold,opt_loss,n_branches,metric,max_branches,temp_branch_1
0,0.7,-0.9819354838709677,1,acc,1,1.4075973599847198
0,0.7,2.7498286428297294,1,inf_time,1,0.07680120563503333
0,0.8,-0.9922279792746114,1,acc,1,1.248185138965062
0,0.8,2.7498286428297294,1,inf_time,1,0.052800762609889085
0,0.9,-1.0,1,acc,1,1.1109510476825388
0,0.9,2.7498286428297294,1,inf_time,1,0.057070973791682904
