,beta_acc,beta_inf_time,ee_prob,threshold,n_branches_edge,beta,calib_mode,overhead,temp_branch_1
0,0.5371671295539945,32.58028335147503,0,0.7,1,0,overall_acc_beta_calib,0,0.00969654015479307
0,0.7551053749387355,34.04219556444338,0,0.7,1,5,overall_acc_beta_calib,0,1.0547891835470773
0,0.7549420029406959,34.043664822948884,0,0.7,1,10,overall_acc_beta_calib,0,1.0567326456064825
0,0.7559222349289332,34.06423444202582,0,0.7,1,15,overall_acc_beta_calib,0,1.0741469489401791
0,0.7562489789250123,34.070846105300554,0,0.7,1,20,overall_acc_beta_calib,0,1.0778713556863455
0,0.7562489789250123,34.07121341992693,0,0.7,1,25,overall_acc_beta_calib,0,1.0797793056637586
0,0.7564123509230518,34.07488656619067,0,0.7,1,30,overall_acc_beta_calib,0,1.0834880780007201
0,0.7564123509230518,34.07488656619067,0,0.7,1,35,overall_acc_beta_calib,0,1.0834416143567724
0,0.7564123509230518,34.07672313932254,0,0.7,1,40,overall_acc_beta_calib,0,1.085702041299674
0,0.7564123509230518,34.07672313932254,0,0.7,1,45,overall_acc_beta_calib,0,1.0857639756565707
0,0.7564123509230518,34.07672313932254,0,0.7,1,50,overall_acc_beta_calib,0,1.0856836139061328
0,0.7564123509230518,34.07672313932254,0,0.7,1,55,overall_acc_beta_calib,0,1.0856752987699136
0,0.7564123509230518,34.077090453948905,0,0.7,1,60,overall_acc_beta_calib,0,1.086055520308172
0,0.7564123509230518,34.07672313932254,0,0.7,1,65,overall_acc_beta_calib,0,1.0856777983149912
0,0.7564123509230518,34.07672313932254,0,0.7,1,70,overall_acc_beta_calib,0,1.0856741420816873
0,0.7564123509230518,34.077090453948905,0,0.7,1,75,overall_acc_beta_calib,0,1.0860192848560102
0,0.7564123509230518,34.077090453948905,0,0.7,1,80,overall_acc_beta_calib,0,1.0860051858218027
0,0.7564123509230518,34.077090453948905,0,0.7,1,85,overall_acc_beta_calib,0,1.0860061887463968
0,0.7564123509230518,34.077090453948905,0,0.7,1,90,overall_acc_beta_calib,0,1.0860038704351394
0,0.7564123509230518,34.077090453948905,0,0.7,1,95,overall_acc_beta_calib,0,1.0860017549974628
0,0.7564123509230518,34.077090453948905,0,0.7,1,100,overall_acc_beta_calib,0,1.0860025577949866
0,0.5371671295539945,32.58028335147503,0,0.8,1,0,overall_acc_beta_calib,0,0.05598500894132313
0,0.6025159287698089,32.91747817848633,0,0.8,1,5,overall_acc_beta_calib,0,0.2992154487129633
0,0.7604966508740402,34.16928642516877,0,0.8,1,10,overall_acc_beta_calib,0,1.039738841708138
0,0.7608233948701193,34.175163459190756,0,0.8,1,15,overall_acc_beta_calib,0,1.0428948190424023
0,0.7609867668681588,34.18361169559736,0,0.8,1,20,overall_acc_beta_calib,0,1.0505638802656643
0,0.7613135108642378,34.18655021260835,0,0.8,1,25,overall_acc_beta_calib,0,1.053439480922604
0,0.7611501388661983,34.18397901022374,0,0.8,1,30,overall_acc_beta_calib,0,1.0519061881949534
0,0.7609867668681588,34.18361169559736,0,0.8,1,35,overall_acc_beta_calib,0,1.0511494216145956
0,0.761640254860317,34.20087548303693,0,0.8,1,40,overall_acc_beta_calib,0,1.0611450820026322
0,0.7614768828622774,34.19316187588308,0,0.8,1,45,overall_acc_beta_calib,0,1.0567283423115397
0,0.7614768828622774,34.19940622453144,0,0.8,1,50,overall_acc_beta_calib,0,1.0606330484710604
0,0.7614768828622774,34.19646770752045,0,0.8,1,55,overall_acc_beta_calib,0,1.0591487073181676
0,0.7614768828622774,34.198304280652316,0,0.8,1,60,overall_acc_beta_calib,0,1.0600922412991565
0,0.7614768828622774,34.19977353915781,0,0.8,1,65,overall_acc_beta_calib,0,1.0606752365192416
0,0.7614768828622774,34.19940622453144,0,0.8,1,70,overall_acc_beta_calib,0,1.0606098004242077
0,0.7614768828622774,34.19940622453144,0,0.8,1,75,overall_acc_beta_calib,0,1.0605727769536746
0,0.7614768828622774,34.19940622453144,0,0.8,1,80,overall_acc_beta_calib,0,1.0605873156522752
0,0.7614768828622774,34.19940622453144,0,0.8,1,85,overall_acc_beta_calib,0,1.060582316040891
0,0.7614768828622774,34.19940622453144,0,0.8,1,90,overall_acc_beta_calib,0,1.0605717106407786
0,0.7614768828622774,34.19940622453144,0,0.8,1,95,overall_acc_beta_calib,0,1.0606000817128167
0,0.7614768828622774,34.19940622453144,0,0.8,1,100,overall_acc_beta_calib,0,1.0606594877662294
0,0.5371671295539945,32.58028335147503,0,0.9,1,0,overall_acc_beta_calib,0,0.0078004345092816535
0,0.7614768828622774,34.19646770752045,0,0.9,1,5,overall_acc_beta_calib,0,0.9415389951670875
0,0.7637640908348309,34.286459790982065,0,0.9,1,10,overall_acc_beta_calib,0,0.9932386486436833
0,0.5371671295539945,32.58101798072778,0,0.9,1,15,overall_acc_beta_calib,0,0.07851794520719113
0,0.76409083483091,34.305560151553514,0,0.9,1,20,overall_acc_beta_calib,0,1.006761351356317
0,0.7642542068289495,34.30996792707,0,0.9,1,25,overall_acc_beta_calib,0,1.0090910660939951
0,0.7645809508250286,34.33053754614694,0,0.9,1,30,overall_acc_beta_calib,0,1.0183233014607478
0,0.7645809508250286,34.33127217539969,0,0.9,1,35,overall_acc_beta_calib,0,1.0188285661145928
0,0.7647443228230681,34.33641458016893,0,0.9,1,40,overall_acc_beta_calib,0,1.0212900113601822
0,0.7642542068289495,34.311069870949126,0,0.9,1,45,overall_acc_beta_calib,0,1.0098474736137268
0,0.7660512988073844,34.82861617951003,0,0.9,1,50,overall_acc_beta_calib,0,1.1126161934040648
0,0.7660512988073844,34.82861617951003,0,0.9,1,55,overall_acc_beta_calib,0,1.1127264639456669
0,0.7660512988073844,34.82861617951003,0,0.9,1,60,overall_acc_beta_calib,0,1.1111601413680345
0,0.7660512988073844,34.82861617951003,0,0.9,1,65,overall_acc_beta_calib,0,1.1111396887879517
0,0.7660512988073844,34.82861617951003,0,0.9,1,70,overall_acc_beta_calib,0,1.111123843986959
0,0.7660512988073844,34.82861617951003,0,0.9,1,75,overall_acc_beta_calib,0,1.1112905457577575
0,0.7660512988073844,34.82861617951003,0,0.9,1,80,overall_acc_beta_calib,0,1.11114306843866
0,0.7660512988073844,34.82861617951003,0,0.9,1,85,overall_acc_beta_calib,0,1.111191783632363
0,0.7660512988073844,34.82861617951003,0,0.9,1,90,overall_acc_beta_calib,0,1.111113265311224
0,0.7660512988073844,34.82861617951003,0,0.9,1,95,overall_acc_beta_calib,0,1.111128751318339
0,0.7660512988073844,34.82861617951003,0,0.9,1,100,overall_acc_beta_calib,0,1.1111236307523753
0,0.5371671295539945,32.58028335147503,0,0.7,1,0,overall_acc_beta_calib,5,0.009696540154793057
0,0.5371671295539945,32.582651700708176,0,0.7,1,5,overall_acc_beta_calib,5,0.10092806948354967
0,0.5788269890540761,33.278946375252296,0,0.7,1,10,overall_acc_beta_calib,5,0.27905526694198174
0,0.7551053749387355,37.295666674663295,0,0.7,1,15,overall_acc_beta_calib,5,1.0550479011194167
0,0.7549420029406959,37.30158754774615,0,0.7,1,20,overall_acc_beta_calib,5,1.0576374217227136
0,0.7551053749387355,37.295666674663295,0,0.7,1,25,overall_acc_beta_calib,5,1.0551792892771956
0,0.7549420029406959,37.32527104007759,0,0.7,1,30,overall_acc_beta_calib,5,1.0643646107309295
0,0.7554321189348145,37.34777035779244,0,0.7,1,35,overall_acc_beta_calib,5,1.0697186058484827
0,0.7551053749387355,37.32645521469416,0,0.7,1,40,overall_acc_beta_calib,5,1.0651919893692459
0,0.7554321189348145,37.34303365932616,0,0.7,1,45,overall_acc_beta_calib,5,1.068738636938952
0,0.7559222349289332,37.366717151657596,0,0.7,1,50,overall_acc_beta_calib,5,1.074536433231011
0,0.7559222349289332,37.36316462780788,0,0.7,1,55,overall_acc_beta_calib,5,1.073545941053924
